hey guy glad see mangos back; neu
lets go bar; neu
exist one reason must die engrish; neu
seriously cant class name progressbar; neu
apply code style see someone problem current name ...; neu
init int row_count; neu
read mangos/tc code much; neu
exist one reason; neu
lol engrish win replace english virus plug mind; compound
base belong us c; neu
; neg
cool research thank vladimir; pos
code style 'm bulge eye; neu
bargolink :bargolink int row_count; neu
read; neu
better countof pointer-protection take habrahabr.ru iirc; neu
know version take chromium n't use often important; neu
would suggest use clearer word comment like; neu
sure partly quote client; neu
alright please add miss r write `` share loot ... ''; compound
part commit text get lose apparently `` note code simplify function notify possibly order packet correct ''; neu
byte=0 share xxx loot_money_split; neu
getting info look like 's always 0 group 1 group need figure packet actually use no-group case; neu
creature_typeflags_unk24 creature serve mailbox argent squire argent gruntling; neu
thank point added support check 11563; compound
may ask really change learn; neu
without additional information difference two number negative; neu
normal player always get level ca n't negative level decrease reason mango avoid lose progress skill increase chance skill still maxskill level negative value posisble mostly gm; compound
yeah `` redunction '' overpowered nerf totally need; neu
hope next change fix bug aura 269 affect resilience; neu
whole reduction_affected_damage need time ago replace simple get*damagereduction damage stand melee/ranged/whatever.. see difference; neu
err ... `` must ... .. '' maybe ^_^; neu
indeed /checkwhowrotethatline; neu
edited nevermind 've read forum get answer; neu
sorry ask possibility replace updaterotationfields function new function; neu
n't quaternion normalize; neu
use setrotationangles; neu
n't know use; neu
okay one solution possible add special exception gameobject id gameobject :create like; compound
also may put parameter gameobject :create rotation0 rotation1 etc; neu
thank much; pos
big thanks adopt; pos
hm setrotationangles 2*acosf 0.0002f 0 0 setrotationangles 2*acosf 0.0001f 0 0; neu
probably; neu
sorry bother work correctly; neg
remove; neu
silverice; neu
remove boat move opposite direction; neu
use; neu
use; neu
fix; neu
confirm gameobjects seem ignore orientation sometimes; neu
code work correctly example .go object 60314; neu
assume orientation correct value use temporary solution replace crap good data; compound
set rotation2 rotation3 field zero spawn correctly yes _but_ rotation incorrect; neu
hmm sorry ask understand help; neu
http //github.com/mangosr2/mangos/commit/7a7eb9e4e0004586dcc00814a43f86f9358853df; neu
gcc need add include level2.cpp; neu
11528 thank; pos
fixed 11522 thank; pos
nice one probably fixes totemtimers addon well; compound
nofantasy may want add well get bug way ...; neu
totem summon work fine mango; neu
ye summon work fine also totem timer work already well feeling play shamy thx; compound
technically could call map 's `` oncreaturecreate '' grab npc however accessible spot; neu
since commit server crash chat.cpp; neu
mango string sql update reason drop localization string version main string content update; neu
ah thanks close look gmdb sorry; neu
cool arcane missiles spell work great ^^; compound
hostile version look like work problem missile fix; neg
fix anything penance spell; neu
's work almost work wotlk retail except backstab shred kind skill perform opponent 's back bypass deterrence; neu
break; neu
break; neu
fixed 11508 thank vs accept old version lol; compound
accept old version; pos
yes make sense miss non-win case slow understand ^^; neu
fault re-check final code change possible fix 11520 also read commit note -s run problem sometime; neu
error fixed yet please look screenshot; neu
gethealth damage health35; neg
float 0.35f; neu
владимир балдеем; neu
http //pastebin.com/swcs3yng; neu
ok maybe make sense copy part another similar case code; neu
meaning 0.35 use double; neu
must fix case 11505; neu
code msec added db version sec nothing patch need commit; neu
cooldown 10000; neu
different ifdef case must work appropriate platform; neu
update window service dont work; neu
dont know error code 1053 revert commit everyting ok; compound
must fix 11502 thank report; neu
config file use default place command-line option ...; neu
possible finally fix 11507; neu
never understand make committ cleaning space line code ...; neu
commit make bad think; neg
would hard remove 2+ space think; neu
commit good make state worst important clarify future reader pobject safe late code avoid repeating problem add early fixed 2 commits ago code always _lot_; neu
construct like `` someguid ... `` 's safe use `` operator void* '' conversion instead; neu
ca n't imagine operator void* replace m_guid never null; neu
's something like; pos
find another place use suggest way implement operator use ^^ one time thanks point ^^; neu
hmm intresting point read like way ... case think select way cast raw uint64 also must work ok; neu
npcflag=npcflag|0x10000000 exactly npcflag 0x10000000 0; neu
mysql weird shouldnt work; neu
ask get answer `` omit purpose avoid bad implicit cast ''; neu
relate directly operator wrong; neg
thanks finally submit silveice; neu
forget specify additional apparently typo gemguids 0; neu
declare virtual function; neu
; neg
allow override scripts.. current method force store guid 's uint64; neu
guid _is_ uint64; neu
wow thanks 's long-anticipated search method; compound
indeed good one; pos
objectguid constructor explicit; neu
script library conversion complete good add need add objectguid guid assignment explicit cast converted code need current code; neu
final; neu
11473 thank; pos
unused; neu
deprecated; neu
break geming; neu
suggested fix add 11481 thank; neu
may need add; neu
traditional need add include objectguid.h petai.h forward declare class objectguid; neu
fixed 11459 thank; pos
could also write ... roll 73 ... prevent calculate random number line one might enough; neu
use 2 random roll seq code also problematic real `` randomness '' rolled value fix add 11480 thank; neu
get everything weapon mh/oh intend behaviour; neu
hm.. case blizz decide temporary use player clone someone; neu
yes weapon clone spell ref dummy effect spell 43365 following spell cast example; neu
confirm use spell_aura_mirror_image player i.g http //www.wowhead.com/item=58489; neu
maybe something relate 4x would helpful ...; neu
thanks; pos
good use spell aura_247 replace old version patch completely stop work symptom old version development invisible mob example also p; neu
since mangos dev push anything actually happy ... stop whining; neu
's 4x spell; neu
's actually 4.x spell ca n't find example wotlk spell; neu
anyway spell devs n't use player-targets n't mean restriction might limitation 3.3.5 client code remove 4x; neu
whereform know cloned specific unit_flag; neu
agree 's real reason check 's useless least add comment code maybe others test stuff see client accept even though none current spell expect clone another player; neu
mean apply clone player clone player; neu
yeah ... target aura player ...; neu
's funny treat contributor watcher; compound
whereform know cloned specific unit_flag; neu
need add include objectaccessor.h guild.h include guildmgr.h mischandler.cpp achievementmgr.cpp; neu
столкнулся с проблемой в ямах саррона когда паладин кидает на гарлфроста изгнание зла то после этого данны босс становиться как кукла; neu
've think good amount amount dummy effect pile wonder idea improve refactoring custom spell code handle good efficiently i.e something switc; compound
collection isnostackspellduetospell exception; neu
real work real work always figure happen change whatever system one use; neu
system would sexy sure would could performance hog so-said `` script '' n't compile; compound
11428 thank; pos
; neg
vladimir good make; pos
fully multithread-safe code ... ...; neu
auction code expect execute main world thread map thread remark safe lol; compound
player handler also thanks 'm happy; compound
please check commits compilation without pch need add; neu
finally come moust servs already custom code; neu
double setsheath sheath_state_melee whu; neu
http //old.wowhead.com/quest=11169; neu
http //www.wowhead.com/quest=27336; neu
... time subdomain get powned ... one experience anyways ty; neu
thank neo2003 nice patch; pos
's get increasingly difficult pinpoint change 90 commit space adjustment; neu
add-on http //img535.imageshack.us/img535/2131/wowmap.png; neu
hmm look like m_liquid_offx m_liquid_offy use reverse place also big chnace typo; neu
; neg
possible resolve conflict old patch version best way code style big problem right attempt apply code style opposition direction case; neu
hm case x consistent client file point code n't remember exactly x terrain calculation swap if/why liquid need place ca n't tell memory either comment would; neu
true lynx3d swap x vmaps long ago map probably client generate file may still reverse; neu
neo well problem vmaps need regenerate vmaps maybe uh; neu
tom refuse use git_id unknown least resons ...; neu
project use revision number release user know easy mangos need one main reason mangos team agree use revision number like personally think nobody make sure 's use; compound
hey definition lazy still use git_id; neu
tradition waypoint record ^^; neu
fix fly creature blinking come 11384; neu
yay vehicle implementation; pos
first vehicle commit; pos
е-ма-е ... уж и ждать перестал; neu
first; neu
anyone else issue release compile commit windows; neu
finally; neu
mount vehicle clean core yet; neu
part vehicle code whats rsa repo; neu
faq bad method store spell need method like player spells/talents store; neu
try find msvcr100.dll compile vc90; neu
install visual c++ 2010 redist; neu
ok thx; pos
think api compatible mangos unix/linux use prev openssl version; neu
need upgrade openssl lib linux; neu
need add; neu
thanks fixed 11382; pos
likely cata-only related spell http //www.wowhead.com/search q=raid+marker; neu
thanks; pos
3 raid marker; neu
raid marker wotlk; neu
proof please know raid target icon wotlk; neu
hm look back use smoke signal remember icc raid marker guess 4.0.1 cataclysm launch; neu
smoke signal n't 'true raid marker guess yes mention spell implement shattering 4.0.1; neu
не издевайтесь над покойником c sorry english analog ...; neu
rsa отжёг; neu
это был тонкий намёк на бесполезность попыток сделать нормальный lfg mangos/mangos; neu
не совсем иначе бы я этим вопросом не занимался но тот код который сейчас в ядре есть точнее те крохи кода какой-либо доработке уже не подлежат писать надо заново `` умерла так умерла ''; neu
славяне есть славяне `` приехали пожарные на вызов тушить больницу ну все сделали как и подобает настоящим героям пожар потушили в грязь лицом не упали после окончания тушения командир расчета докладывает главному врачу; neu
ca n't compile gcc; neu
difference may know aint c++ int check boolean 0; neu
duration -1 infinity case; neu
see thanks vladimir; pos
may remove std :list std vector std :queue reliable ...; neu
rsa stl container n't 'higher reliability performance reason stick std :vector since much high cpu cache locality use linked list referencemanager actually kill current core performance; neu
pentry dependent effect index omly use check loop ...; neu
cleanup doen 11375; neu
hmm maybe good repeat getaffectivecaster becase repeat search guid soem case; neu
11373; neu
fixed 11359 thank; pos
know 's small note // arena team ca n't 2 arenatype 2 2.x 3 3x3 5 5x5; neu
think change nothing problem place; neu
pet :update call creature :update creature update chnages exist explcit assign different value regenttimer; neu
thanks; pos
love man; pos
lol; pos
blame obama xd; pos
sure cmsg_lfg_offer_continue smsg_lfg_offer_continue; pos
sorry stupid question average rating calculation suppose get average personal rating team member divide m_type let say 2v2 team could really 4 member would arou; neu
know commit wrong provide correct point plan revert rewrite yesterday find time anyway thank confirmation problematic point ^^; neu
overwrite overwritten; neu
oh damn another commit fix engrish; neu
overwritten proper one; neu
std :numeric_limits float :signaling_nan; neu
...; neu
_rare_ crash; neg
n't good set summon point create; neu
vinolentus start discussion yesterday suppose move code create patch already available anyway protect code incorrect usage forbid access uninitialized data; neu
aura 50141 imposes player 's aura 50001; neu
quote option aura 50001 impose aura wear 50141 /quote; neu
sniff quest; neu
could round error; neg
m_removemode == aura_remove_by_expire; neu
macro aura cancel; neg
nice catch; pos
every single item/unit/go world packedguid object ram saving might noticable; neu
vlad good original check n't get release build ppl still get assertion failure mangos_assert usage o.o could use assert whatever macro use; neu
release build define -dndebug skip assert 's; neu
oh see use _wassert call release build anymore; neu
hunter call pet petentry 0 return; neu
11327 thank; pos
right fix test version suggested undo change; neu
reason check summon point real point already add creature already check add db data check loading; neu
reason http //gist.github.com/904015 detail comment 11306; neu
cheating stupid gm 's ... additional check bad; neg
check random place useless say coordinate check must check source wrong value add; neu
vlad thought improve check prevent wrong data assignment welcome problem place check getters definitely yield result chase setter forever since incorrect setter usag; neu
make normal way debug check guard mangos_debug ifdef least add check affect player rsa havy modify source get crash assign wrong value unknown place 's maybe assign long crash mayb; neu
vlad protect mango core bad patch clean core crash check problem someone screw main logic n't care patch work want want; neg
far know finite always return false argument nan; neu
yep bad dontomika =/; neg
13 spell use aura 243 allow generic use; neu
change like without spell == hack 13 spell dbc sniff much; neu
hmm ... mysterious development easy implement aura_243 take ready implementation; compound
server restart **are** require command use; neu
no-no-no need comment fix darkknight900; neu
mango isnt mango without engrish; neu
11337 thank; pos
m_staticgamebjectguids miss; neg
o.o need exist; neu
u dont see typo word; neu
ah bout typo fixed zergtmn 11315 thank catch; neu
static guids also need use waypoint spawning; neu
good point; pos
current way waypoint work compatible local guids fact compatible instanced map abd old code local guids; neu
report http //gist.github.com/904015; neu
thanks; pos
rsa crashdump argument type float nan; neu
know 's probably cheat tp2plane 's reason crush commit see crush type; neu
well good reason crash x nan might use calculate gridmap object give coordinate =/ guess get result anyway strange agree; neu
function isnextzcoordok old insider42 patch contain 4 call getheight recheck next coordinate prevent fall map different case modify stuff believe call getheight unsafe; neu
uhm ... 'm sure crashlog function change commit ...; neu
rsa pass nan value input parameter definitely cause issue geometry function expect valid randommovementgenerator creature :_setrandomlocation last function call stack trigger call; neu
thanks actually 's require; neu
've add check nan value isvalidmapcoord function since checking finite enough; neu
chance someone compile mango '-fast-math see bih run fine; neu
difference; neu
reamer difference group check use symbols take close look; neu
great dmr duration calculation fix talent work 10+sec spell fear etc nice work; compound
need add; neu
end compile get error file spelleffects.cpp; neu
's clean core problem wish merge first learn; pos
hum excuse understand sentence; pos
might miss `` '' somewhere spelleffects.cpp merge must conflict correct right; neu
forget `` '' doubt log give problem several line 'll see resolve 'll let know go well file 's strange anyway; neu
missed `` '' could give error lot line; neu
yet 'm go code 2 time nothing report side raise good compilation see hand file rest goo good; compound
omg `` doubt ... '' kind error point miss `` '' one void miss one; neu
mechanicmod std :min mechanicmod std :min stackingmod nonstackingmod; neu
well problem solve conflict spell file always easy juggle modified rsa mine; neu
fix currently discard mob handle 'destination movement generator free rollback patch case fix nothing; neu
fix able without deep research 'detectposcollision 0 since vmap code add core year ago; neu
hope query catch file next time update year; neu
part clearly wrong blame temporarily insanity reverting shortly put change belong; neg
warning jethro84530 worry 'll fix near commits; neg
thanks; pos
; neg
shouldnt uint32 int32; neu
side note always think aura duration spellauraholder aura class per-effect aura duration dbc spell multiple duration effect trigger different one like 49803; neu
to-do list; neu
agree specially client side support per-effect duration; compound
also use next year update copyright notice; neu
thanks schmoozerd; pos
hmm hope source file 2005 -2010 similar small difference; neu
find file miss copyright information belong us please tell us either prefer forum thanks; neu
's 2011; neu
aawwww ... damn note self n't cherry-pick commits 2010 without think ...; neu
finally; neu
; neg
use .gm -command intention behind add allow gm see gossip option regardless condition set make bit easy develop gossip; neu
change seem break quest gossip innkeeper logic u add disable see quest least one quest condition fulfil quest gossip npc; neu
need change signature assignment operator; neu
nice commit; pos
likely something like p; pos
far know object activate player enter radius distance check; neu
help case mail send sender delete receiver get mail; neu
mail tempates use mail send server npc/etc name n't must affect player-to-player mail work problem deleted sender existed code must work deleted sender; neu
confirmed 's really old annoy bug usually happen heirloom send back main character delete twink player usually delete twink right logout take item mail; neu
's really old annoy bug; neu
u send mail char delete char sender receiver take item mail receiver get msg `` owner item '' something similar old bug; neu
commit change anything configure git client download crlf commit lf format; neu
instead commit may good use .gitattributes; compound
crlf=auto trouble git n't always convert line ending properly diff index; neu
work combination mangos case; neu
try .gitattributes repository neo2003 faramir118 please confirm good solution; compound
commit thanks faramir118; pos
sorry n't get back lot thing go real life; neu
problem nobody yet commit suicide assume commit work; neg
прикольный коммит поизучаю инглишь; neu
harvest blight specimen check incorrect spell award credit entire raid spell target area target one member aura yes effect 's basepoints; compound
thanks clearly much haste comment crap someone hopefully provide proper patch; compound
safe thanks; pos
think may good handle `` trick '' roll_chance_i 50 return false spell 24714 require script effect `` trick '' code look like would work perfectly though; compound
also commit note stronger/more proper startup check add may give error even spell n't give error; neu
thanks may next step move pet summon code spelleffects class pet 's work good; compound
.debug spellcoefs pellid; neu
thank fixed 11234; pos
spell script cast summon image drakuru; neu
indeed totally miss 47117,47149,47316,47405 spell maybe one use check thing like area `` summon '' ok instead current switch areaid least make sure add comment code; neu
's cheating client send opcode everyone receive smsg_move_set_can_fly smsg_move_unset_can_fly; neu
`` ugh quis custodiet ipsos custodes ''; neu
ask google p; neu
thanks good; pos
euh utilité; neu
3 n't harsh rude polite helpful; pos
1 je suis francais; neu
1 learn speak english; neu
want say +1 dasblub; neu
file know know 's write comment file '.debug spellcheck command read first block comment file *very* helpful want find 's purpose ...; neu
oh come n't tell 've miss part patch apply; neu
part; neu
engrish old problem; neg
lol; pos
's typo git_id tool go crazy wrong sql update name 11190 fix 11201 next slq update work correctly; neu
fix miss http //github.com/mangos/mangos/commit/4bd343f48a65353d63369f0095134f55cb0f4b12; neu
spell occupy whole core..; neu
shouldnt standart standard; neu
mean concurrent_vector mangos use; neu
also warn incomplete solution need consider case use example tbb :vector std_malloc blow temp gag ...; neu
use `` default '' unsure p; neu
's reason build library dependency; neu
seems commit create project visual studio 2010 work compilation compiled file scatter around root directory `` bin '' folder compilation finish also icon mangosd.exe rea; neu
oops ... cata come; neu
redundant duplicate check core code drop db already proper requirement; neu
`` isainotifyscheduled '' shedule schedule 's couple miss; neu
finally; neu
`` schedule '' small typo; neu
thank; pos
`` m_ainotifyscheduled '' another one; neu
cheers awesome work; pos
yeahhhhhhhhhhhhhhh thanks guy; pos
lover limit got good laugh one; compound
hmm worry look like real think still batter touch current sql update name; neu
n't issue git_id increment `` 01 '' number `` 02 '' two table create anyway update still sort alphabetically someone maybe confuse update apply 'm talk wo n't try look; neu
file name different order important problem _01_/_02_ add manually modify git_id typo; neu
yes exactly mean yes ca n't touch guard names apply late update still '01 instead '02 get error; neu
imo pool state need save db; neu
day ago attempt alt way restore state current respawn time fact need sure pool object wait respawn shutdown replace moment state load fail work right selection object; neu
people mango repo svn; neu
commit must help fact git info lookup affected line use project generation; neu
gm mode must see _spawned_ maybe despwn mode gos see currently spawn go pool; neu
try .gobject near might see belong pool use pool command list vein pool see spawn; neu
write herb pool example 50 herb pool active max 4 see _only_ 4 go spawned mode despawned mode; neu
hmm possible see case pool propertly spawn continent dependent order continet persistent state create look sollution; neu
test 11188; neu
see gos bgs time; neu
string patch; neu
1 window recommend use old vs sollutions place win dir; compound
http //pastebin.com/2rrn8zvv hm.. compile error check plz; neu
oh thank lynx3d evil unix-side build killer; neg
lol; pos
good true 'm almost cry 'caus joy; compound
/sign; neu
cmake windows make work easy obvious drawback cmake way generate .vsproj file aka miss folder filter etc get everyone excite; neu
awesome hope also consider use cmake windows really make work developer much easy; compound
current cmake mangos work window case problem devs use point; neu
well though care file included/renamed cmake file 2 different kind vsproj file 2008 2010 folder visual studio minor drawback p; compound
stfx .vsproj existance windows out-of-discussion especially much ppl use platform host server free choose whatever like vs cmake build binary; neu
ah another commit fix comment; neu
support precompiled header linux; neu
yes add -dpch=1 windows auto enable unux auto-disabled default test pch unix work see big diff build; neu
reject fix p fact good fix cmake build process part avoid need file exclude ...; neu
ariath ask rsa particular issue; neu
problem build revise code linux use cmake git could recover b mangos-core revision /b; neu
maybe provide modified version clean suggest; neu
see something strange yesterday try compile last rsa commit also add cmake support although manage build solution file vs 2008 start compile get error vs n't recognize argument na; neu
sorry think clear block code line ~217 cmakelist.txt modify cmakelist.txt locate source root; neu
see test created git repo think code must also modifed allow buuild git repo; neu
fixed 11184 thank; pos
hmm possible right ... remember 100 fix positive miss problem ...; neu
ispositivespell check need mean never miss positive spell; neu
good use _static_ array constant value code meaning array initilized first function call special code; compound
correct next patch; neu
commit human 's racial ability http //www.wowhead.com/spell=59752 use cyclone http //www.wowhead.com/spell=33786; neu
http //wowdata.ru/spell.html id=1842 можно обезвреживать только в близи ...; neu
lulz ^^; pos
copy-paste evil thanks must fix 11157; neg
typo addcareturetoremovelistinmapsworker -- addcreaturetoremovelistinmapsworker; neu
yes another type require separate commit fix; compound
fixed 11151 thank; pos
si already fix next commit no-pch build next commit must build; neu
traditionally n't compile gcc; neu
long live thread-safe code; neu
fact fail single thread; neg
also mango code mostly script execute single map object expect thread affect base plan thread usage way; neu
may offer; neu
must fix 11135; neu
http //paste2.org/p/1241633; neu
2 line space rly need; neu
also compile crazy reason; neu
think know reason gcc like create temporary object stack access possible; neu
possible solution; pos
ok te suggestion work gcc apply fix soon; neu
must fix 11134; neu
remove redundant 11134 thank; neu
fix; neu
oh thanks wait finish build unix side see pas problematic prev problem; neu
mingw windows good enough test gcc compilation fail; neu
typo checker care; pos
fixed 11132 thank; pos
oh thanks clean source make commit; compound
cunning method `` persuasion '' gcc surrender compile fine; neu
whats purpose make virtual pure function provide function body; neu
compile gcc pure specifier function definition; neu
must fix 11130 normal c++ feature vs less strict syntax; neu
makefile.am; neu
oh always forget; neu
wow great work; pos
look intresting now.. hmm get nice script idea use; neu
true want make sd2 handle spawned trigger ye would messy actually never get even start; neu
yes outdoorpvp may easely rewrite code core sd2 need work; neu
dreamily still move bg code sd2 ... current core ideology clearly place; neu
great idea could use script arenas/bgs/opvp/wg instead hack core; neu
outdoor functionality still appropriate core arenas generic reason sd2; neu
nice commit help encounter event; pos
actually could event specific bg/arena *may* need script; neu
nice 's need; pos
could usable; neu
hi; neu
hi; neu
file src/shared/revision_sql.h must update; neu
could usable; neu
allow view target 's chat message; neu
ofc say like `` mind vision '' look around world target eye; neu
ca n't diff map instance copy correct command work; neu
allow view target 's chat message; neu
awesome; pos
grats 11111 commits; neu
epic commit always magic commit number come; pos
need preserve tradition ^^ note _not_ specially select; neu
true see 67322 use 68394 type also need heal effect spell; neu
amount data isnostackspellduetospell maybe time put db table; neu
hm yes indeed matter opinion bad selection word really maybe would need defined style sql update accord; neu
beautification turn uglification nofantasy except u format fix acceptable; pos
well 's pretty safe say different opinion 'll make post forum least see able make unified style sql sql go log file main concern; compound
beautify imho whatever x pretty whatever=x; compound
gm appear player instance raid fall instance map back graveyard; neu
hmm stay instance raid 2 player teleport .goname command gm ok ...; neu
vladimir build console right +1 wonder work well land inside instance different instance instance; neu
gm player bind instance visit past bind expire; neu
rly need; neu
changes history non english hmm ca n't detect use encoding; neu
's mandarin chinese accord translate.google.com opend file kwrite use detect language; neu
hmm thanks sure good include auto-translated text instead original ...; compound
//unknown player status; neu
else part; neu
hi vladimir thanks comment 'unknown player status case n't appear player world teleport status; neu
try one `` boom '' code confirm never see active last `` else ''; neu
want place mangos_assert crash server find get case; neu
yes definitely add check prevent wrong code use future; pos
fact also think good place assert like case; compound
thank ambal; pos
recent issue disappeared pet inability delete char login freeze etc introduce 11045 fix commit; neu
http //paste.org/pastebin/view/27627; neu
thank report axxus temporary fix database :initialize function; neu
change byte order matter since 's unused; neu
great work ...; pos
thank boyz next target prepared statement; compound
indeed great work always nice see optimization mango; compound
thank ambal patch go ahead next goal ¡¡prepared statement; neu
jethro84530 issue fix 11049 thank report; neu
epic commit; pos
hi ambal know late player start report pet loss problem stable since test patch; neu
note since pool character selects; neu
axxus commit start cause problem 11045 11049 `` problem stable ''; neu
jethro84530 warning worry 'll fix get back pc; neu
boyz update 11061 new rev issue cause disabled 'autocommit mysql mode fix; neu
lol n't make commit engrish fix 's nofantasy job; neu
pff ... 're destroy identify part mango denglish engrish; neu
's already fix 11025 anyway thank report; neu
sorry guess pay attention compiler warning ...; neg
really need create drop alter lock tables; neu
need drop right character db truncate; neu
create alter lock tables require want use user apply sql update; neu
wrong revision number; neg
11018; neu
hamdler handler; neu
maybe nice full code style folow space _after_ close bracet make git unhappy; neu
trail blank closing bracet ..; neu
`` becase '' `` ''; neu
fixed 11029 thank; pos
new text add 11029 thank; neu
compile gcc need include unit.h spellmgr.h move enum shapeshiftform reliable place; neu
ok move shareddefines.h thanks reporting; pos
hm remember somewhere around 6000 join ... think since switch git commits mean 'd less either git atomic commits instead big commits thus r; neu
also cheat 1 commit 2 fix ^^; neg
commit 11000 jeez ... join mango rev 1527 11k nice progress 'd say; compound
tell 11111 vehicle implementation; neu
schmoo 'll whitespace cleanup usual `` nice '' commits; neu
yeah dasblub want say 10k commit remove empty line whatever lol; compound
missing closing parenthesis `` ''; neu
; neg
fixed 10993 thank; pos
undestood reflect spell like `` polymorph '' caster wo n't polymorphed 1min mob time morped 10sec player time; neu
use pre-existed normal reflection code work reflect spell aura nothing special; neu
oh think another commit comment mangos one relate reflection; neu
yes thank; pos
think important make log less readable releases mode binary startup server fast; neu
completely remove progress bar make startup much fast; neu
ok wrong nonsafe remark mysql look like safe less know posgre expect also safe base lock internal engine object query exist; compound
think mangos startup-time 1 progress bar really must; neu
important say perhaps number convince; pos
vladimir may get useful 're writting lot code/doing lot database modification row need test fix progressively may reboot lot time row idiot error due speed/; neu
diff server start ~1 min 7 sec repeat 10 min; neu
debug mode build slowdown bar inlined code use iteration involve startup load; neu
fallenangelx bar help; pos
show big loading table like creature/go load go infinity loop reason example; neu
doubt progress bar impact startup time beyond fraction second ...; neu
well honestly must say disable progressbar increase loading time 50-120 15-23sec slow pc almost clean char db; compound
well problem start mango mysql n't respond long period time freeze progressbars help see freezed; neu
boyz mangos startup time important host server vital developer since sometimes need restart server several time row debug code startup time 50 30 second matter thank c; neu
minimize console window startup get glimpse startup performance would like without progress bar windows least; neu
er doesnt work leak p load long 30+ sec long config-disable bar; neu
p.s possibility optimize console output want show progress ... remove fflush call leave bargolink destructor seem useless atleast win; compound
compile gcc restore thx; pos
one nice; pos
holiday_id setup case already remember; neu
whitespace; neu
fixed 10976 thank; pos
n't compile gcc default setting; neu
possible fix 10974; neu
saw bug yesterday; neu
yepp english engrish; neu
hehe; neu
hi; neu
problem blueboy arrive first node player dismount; neu
thanks point source problem must fix 11100; neu
implement require repeat mistake author long time ago correct insider42; neu
rsa please provide link patch insider42; neu
cherry-pick exist master code different add function name affect work code change; neu
guess important part code always hide public; neu
ambal maybe one http //github.com/insider42/mangos/commit/876d3a411ec4d91ac001ef520f6f27aee5ff0dbe; neu
2. full patch version support bladestorm example; neu
maybe fix copyright notice back 2011 ...; neu
sql/updates/makefile.am; neu
yeah 's vladimirs fault ... forget recompile local copy git_id ...; neu
; neg
case miss additional indent; neu
happy new year guy; compound
happy new year; pos
bonne années happy new year; compound
http //github.com/mangos/mangos/wiki/codingstandards; neu
scripting library need adjust accordingly nofantasy `` happy '' patch thats sure; compound
jajajajajajajajaja xd `` happy sure ''; compound
read commit note 'll need updated sd2 fix come soon; neu
compile climb error due; neu
without corrects scriptmgr call sd2 library load; neu
compile fix 10938; neu
oh fast n't expect patch fast submit master; neu
would n't preferable; neu
maybe maybe check different state mean select case diff purpose; neu
thank much; pos
guys 'll find issue current commit report asap 'll able fix quickly; neu
hm 'm afraid break build old ace version 'm use ubuntu 's 5.6.3 non-make-based build setup get error; neu
lynx3d issue fix 10931 thank report; neu
thx lot; pos
stupid error jeez ... 'm gon na kill right =/; neg
nu ti monstr; neu
zergtmn грац с новым статусом; neu
welcome team zergtmn congratulations first commit; compound
woot really awesome see; compound
gratz zergtmn good job; pos
zergtmn 0_о грац с принятием в команду работаешь над вехиклами; neu
think use dbc data drop field db; neu
ca n't commit discusstion already write creature query gender often match gender displayextra; neu
field probably gender ... 0 male 1 female; neu
confirned test game thank look currently use code ...; neu
hm good idea check game check race custom modifed .npc info; neu
look like conflict sometime query gender version ca n't use directly description add 10895 thank; neu
found site field identify comment ... http //www.madx.dk/wowdev/wiki/index.php title=creaturedisplayinfoextra.dbc; neu
miss infor add 11030 thank; neu
please update waypoint 's inhabottype 7; neu
apply patch; neu
must fix 10876 thank report; neu
copy/paste typo fortunately impact; neu
awesome thank reduce npc_trainer table size least 50; compound
work way vendor case creature.trainer_id npc_trainer_template.entry; neu
example fill npc_trainer_temppate entry 1 spell druid trainer set trainer_id 1 druid trainer creature; neu
fill way npc_trainer/npc_vendor u provide trainer_id/vendor_id creature_template; neu
fixed 10869 thank; pos
thanks; pos
target mode use mostly siege damage spell like 56350 61766 correct limit spell_script_target; neu
`` '' relate certain spell effect n't mean allow spell handle gameobject; neu
case m_targets.m_targetmask target_flag_source_location; neu
count gameobject type 33 spell effect 87 give need add 1,575 record spell_script_target sure 's good idea; neu
really-really bored yes would ask `` would thing n't know work spell effect 87 yet ''; neu
actually think way around give spell doesnt spell_script_target use go around otherwise exclusive search spell_script_target maybe; neu
mean generic spell mean hit gameobject predefined one spell_script_target; neu
thanks vladimir nice update n't think; compound
nice awesome work thx kero tester test ofc thx ambal; compound
great work; pos
wow thank great work; pos
compile gcc need insert; neu
fix 10849 thanks report; neu
hmm cmsg_move_hover_ack unsafe ... edit fix reference opcode name; neu
maybe 'd miss make patch; neu
yes see forget make safe-marked time-critical opcodes; neu
meant; neu
fixed 10852 thank; pos
also another thing; neu
protector pet explicitly select used summon type summon type+summon_slot use protector pet; neu
`` 1/3 mirror image 1/8 army dead '' look like wrong implemention spell; neu
arent mirror image learn spell army dead summons guardian-type stop spawn 1/3 mirror image 1/8 army dead code add commit add m_castitem enables mutlisummon onl; neu
really take look armoy dead; neg
ok see summon spell duration ... trigger spell; neu
final version fix 10866; neu
mage talent ignite working commit spell 12848 ignite r5 never procs anymore; neu
bleh ... course give rank 5 nonsense effectspellclassmask screw us ... rank zero value; neu
fix long time stop look time scan useful case plan wpe need something fix provide check work modify packet data; neu
http //www.deathsoft.com/forum/index.php showtopic=12388; neu
exactly commit relate objectguid change miss include linux; neu
10817 thank; pos
explain difference criteriaprogress; neu
opps forget set author zergtmn; neu
